Species,AOO
Acronychia_richards-beehleri,0
Acronychia_rugosa,29
Acronychia_schistacea,0
Acronychia_smithii,9
Acronychia_suberosa,272
Acronychia_trifoliolata,225
Acronychia_vestita,394
Acronychia_wabagensis,0
Acronychia_wilcoxiana,516
Acropogon_aoupiniensis,22
Acropogon_bosseri,18
Acropogon_bullatus,68
Acropogon_domatifer,13
Acropogon_dzumacensis,86
Acropogon_francii,0
Acropogon_grandiflorus,9
Acropogon_jaffrei,9
Acropogon_macrocarpus,18
Acropogon_margaretae,0
Acropogon_merytifolius,36
Acropogon_sageniifolia,0
Acropogon_schistophilus,13
Acropogon_schumanniana,23
Acropogon_veillonii,27
Acrosynanthus_parvifolius,13
Actephila_championiae,32
Actephila_excelsa,547
Actephila_flavescens,23
Actephila_lindleyi,1392
Actephila_merrilliana,36
Actephila_ovalis,136
Actephila_petiolaris,79
Actephila_plicata,46
Actephila_sessilifolia,174
Actephila_subsessilis,18
Actephila_trichogyna,0
Actinocheita_filicina,89
Actinodaphne_amabilis,0
Actinodaphne_archboldiana,0
Actinodaphne_borneensis,29
Actinodaphne_cupularis,95
Actinodaphne_diversifolia,19
Actinodaphne_elegans,0
Actinodaphne_forrestii,53
Actinodaphne_fragilis,0
Actinodaphne_glabra,0
Actinodaphne_glauca,0
Actinodaphne_glaucina,0
Actinodaphne_glomerata,63
Actinodaphne_henryi,13
Actinodaphne_hookeri,0
Actinodaphne_hypoleucophylla,26
Actinodaphne_kinabaluensis,0
Actinodaphne_koshepangii,0
Actinodaphne_kostermansii,0
Actinodaphne_kweichowensis,27
Actinodaphne_lecomtei,39
Actinodaphne_leiantha,0
Actinodaphne_longipes,0
Actinodaphne_macrophylla,39
Actinodaphne_molochina,0
Actinodaphne_montana,0
Actinodaphne_mushaensis,557
Actinodaphne_myriantha,34
Actinodaphne_obovata,49
Actinodaphne_omeiensis,39
Actinodaphne_paotingensis,0
Actinodaphne_percoriacea,0
Actinodaphne_pilosa,119
Actinodaphne_procera,0
Actinodaphne_pruinosa,78
Actinodaphne_sesquipedalis,19
Actinodaphne_setchuenensis,0
Actinodaphne_sikkimensis,0
Actinodaphne_solomonensis,0
Actinodaphne_speciosa,0
Actinodaphne_sphaerocarpa,0
Actinodaphne_stenophylla,14
Actinodaphne_sulcata,0
Actinodaphne_tayabensis,19
Actinodaphne_tomentosa,39
Actinodaphne_trichocarpa,43
Actinodaphne_tsaii,13
Actinodaphne_wightiana,0
Actinokentia_divaricata,146
Actinokentia_huerlimannii,9
Actinorhytis_calapparia,39
Actinostemon_amazonicus,361
Actinostemon_caribaeus,110
Actinostemon_concepcionis,547
Actinostemon_concolor,4462
Actinostemon_echinatus,32
Actinostemon_imbricatus,0
Actinostemon_klotzschii,1342
Actinostemon_schomburgkii,1257
Actinostemon_verticillatus,863
Acunaeanthus_tinifolius,0
Adansonia_digitata,2630
Adansonia_grandidieri,69
Adansonia_gregorii,1075
Adansonia_madagascariensis,252
Adansonia_perrieri,110
Adansonia_suarezensis,48
Adansonia_za,560
Adelia_barbinervis,2189
Adelia_membranifolia,620
Adelia_oaxacana,310
Adelia_ricinella,597
Adelia_triloba,1008
Adelobotrys_antioquiensis,39
Adenanthera_abrosperma,392
Adenanthera_borneensis,0
Adenanthera_forbesii,0
Adenanthera_intermedia,38
Adenanthera_kostermansii,24
Adenanthera_malayana,0
Adenanthera_mantaroa,168
Adenanthera_microsperma,137
Adenanthera_pavonina,957
Adenaria_floribunda,4178
Adenia_karibaensis,0
Adenia_pechuelii,27
Adenium_boehmianum,191
Adenium_multiflorum,125
Adenium_obesum,687
Adenocalymma_bracteosum,215
Adenocalymma_cladotrichum,1094
Adenodaphne_uniflora,54
Adenolobus_garipensis,363
Adenophaedra_grandifolia,444
Adenophaedra_megalophylla,349
Adenopodia_rotundifolia,19
Adenorandia_kalbreyeri,103
Adenostoma_sparsifolium,892
Adesmia_viscosa,0
Adinandra_acuminata,44
Adinandra_anisobasis,0
Adinandra_apoensis,24
Adinandra_bockiana,190
Adinandra_borneensis,0
Adinandra_brassii,34
Adinandra_brefeldii,0
Adinandra_celebica,63
Adinandra_clemensiae,24
Adinandra_collina,29
Adinandra_colombonensis,0
Adinandra_cordifolia,44
Adinandra_dasyantha,0
Adinandra_dumosa,201
Adinandra_elliptica,28
Adinandra_epunctata,0
Adinandra_excelsa,39
Adinandra_forbesii,63
Adinandra_formosana,994
Adinandra_glischroloma,156
Adinandra_grandis,0
Adinandra_hainanensis,0
Adinandra_hirta,40
Adinandra_howii,0
Adinandra_impressa,19
Adinandra_integerrima,0
Adinandra_lancipetala,0
Adinandra_lasiopetala,0
Adinandra_lasiostyla,212
Adinandra_latifolia,0
Adinandra_loheri,0
Adinandra_luzonica,0
Adinandra_maculosa,0
Adinandra_magniflora,14
Adinandra_megaphylla,40
Adinandra_meratusensis,0
Adinandra_milletii,17
Adinandra_myrioneura,0
Adinandra_nigroglandulosa,13
Adinandra_nigropunctata,0
Adinandra_nunkokensis,0
Adinandra_oblonga,0
Adinandra_parvifolia,0
Adinandra_pingbianensis,0
Adinandra_quinquepartita,0
Adinandra_ryukyuensis,0
Adinandra_sarosanthera,49
Adinandra_subsessilis,19
Adinandra_verrucosa,14
Adinandra_villosa,19
Adinandra_yaeyamensis,26
Adina_dissimilis,19
Adina_pilulifera,673
Adiscanthus_fusciflorus,329
Aegiceras_floridum,58
Aegiphila_alba,609
Aegiphila_anomala,491
Aegiphila_bogotensis,608
Aegiphila_boliviana,144
Aegiphila_brachiata,1360
Aegiphila_buchtienii,33
Aegiphila_cephalophora,354
Aegiphila_cordata,499
Aegiphila_costaricensis,799
Aegiphila_cuatrecasasii,157
Aegiphila_cuneata,302
Aegiphila_deppeana,431
Aegiphila_duckei,0
Aegiphila_elata,911
Aegiphila_elegans,170
Aegiphila_exiguiflora,14
Aegiphila_falcata,164
Aegiphila_fasciculata,95
Aegiphila_ferruginea,216
Aegiphila_filipes,58
Aegiphila_floribunda,102
Aegiphila_fluminensis,388
Aegiphila_glabrata,24
Aegiphila_glomerata,0
Aegiphila_grandis,166
Aegiphila_hastingsiana,0
Aegiphila_hirsutissima,131
Aegiphila_hoehnei,288
Aegiphila_integrifolia,10382
Aegiphila_laeta,531
Aegiphila_laxiflora,83
Aegiphila_lehmannii,176
Aegiphila_lopez-palacii,0
Aegiphila_luschnathii,215
Aegiphila_martinicensis,887
Aegiphila_mediterranea,574
Aegiphila_membranacea,489
Aegiphila_moldenkeana,53
Aegiphila_mollis,1034
Aegiphila_monstrosa,699
Aegiphila_monticola,118
Aegiphila_multiflora,287
Aegiphila_novogranatensis,343
Aegiphila_obducta,1136
Aegiphila_obovata,0
Aegiphila_odontophylla,485
Aegiphila_panamensis,1509
Aegiphila_pauciflora,0
Aegiphila_pennellii,58
Aegiphila_pernambucensis,432
Aegiphila_perplexa,29
Aegiphila_peruviana,121
Aegiphila_purpurascens,29
Aegiphila_rimbachii,29
Aegiphila_roraimensis,63
Aegiphila_saltensis,31
Aegiphila_schimpffii,24
Aegiphila_skutchii,94
Aegiphila_smithii,185
Aegiphila_spicata,72
Aegiphila_steinbachii,28
Aegiphila_sufflava,112
Aegiphila_ternifolia,102
Aegiphila_trifida,14
Aegiphila_truncata,220
Aegiphila_ulei,423
Aegiphila_valerioi,271
Aegiphila_vallensis,53
Aegiphila_venezuelensis,122
Aegiphila_verticillata,3942
Aegiphila_villosa,83
